Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Covid19_mesures_specifiques,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
La Voie Verte des Hautes Vosges,https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#CyclingTour|https://www.datatourisme.fr/ontology/core#Tour|https://www.datatourisme.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,47.8841776908664,6.85536256403202,rue des Sagards,88540#Bussang,,OT COMMUNAUTAIRE DES BALLONS DES HAUTES VOSGES,Système d’information touristique Lorrain,2025-10-11,#https://www.paysderemiremont.fr/voieverte/,Voie verte#Voie verte,"Entourée de montagnes et d'air pur, la Voie Verte des Hautes Vosges est une piste mutli-activités aménagée sur les 53 kilomètres des anciennes voies ferrées des vallée Moselle - Moselotte. Sur et en dehors de la piste, en famille ou entre amis, la variété des paysages, la qualité des sites, la convivialité des utilisateurs incitent à venir... et à profiter du plaisir que procure la Voie Verte.Ouverte à tous et en accès libre, elle permet, en toute sécurité et dans d'excellentes conditions pratiques, la cohabitation de la marche, du cyclisme, du roller(roller, planche), du ski à roulettes. Possibilité  de louer des VTT électriques au départ de Bussang ou des vélos classiques et électriques à Fresse sur Moselle. Le plan ainsi que les tracés GPX sont téléchargeables ci-dessous.",https://data.datatourisme.fr/10/91c11d47-1409-302f-8bd9-a631d7503906
La boucle de la Moselle de Liverdun à Nancy,https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#CyclingTour|https://www.datatourisme.fr/ontology/core#Tour|https://www.datatourisme.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,48.7496699218034,6.06655388090348,1 Place d'Armes,54460#Liverdun,,TOURISME BASSIN de POMPEY,Système d’information touristique Lorrain,2025-09-25,#http://www.boucledelamoselle.fr/,Voie verte#Voie verte|Véloroute#Véloroute,"Itinéraire praticable dans les deux sens sur 18 km, vous aurez le plaisir de pratiquer une voie cyclable en bord de Meurthe et de Moselle, entre décor champêtre, patrimoine et richesses industrielles.

Sur votre chemin, découvrez la place Stanislas et le parc de la pépinière, la Meurthe, le centre culturel de la Douëra et la ville médiévale de Liverdun.",https://data.datatourisme.fr/10/002f97fd-5efb-3da6-b8a3-db09853e2293
Circuit touristique de la ville haute de Liverdun,https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Tour|https://www.datatourisme.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,48.7524503658121,6.06325525083685,1 Place d'Armes,54460#Liverdun,,TOURISME BASSIN de POMPEY,Système d’information touristique Lorrain,2025-09-25,#http://tourisme.bassinpompey.fr/a-voir-a-faire/circuit-de-liverdun,,"Ancienne résidence d'été des Evêques de Toul dominant une boucle de la Moselle, la Ville Haute de Liverdun regorge d’un riche patrimoine que vous allez pouvoir apprécier au fil de ce circuit.
Découvrez 7 panneaux étapes emblématiques et des détails architecturaux via 14 QR codes sur les façades des maisons, en suivant la piste de la madeleine, spécialité de Liverdun. Bonne visite !",https://data.datatourisme.fr/10/0be3a8e0-994a-38fd-8bee-cd7d16a0840f
Balades à Roulettes n° 26 l'île des Faisans à Hendaye,https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Tour|https://www.datatourisme.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.3445898,-1.763852,39 Rue Richelieu 64700 Hendaye,64700#Hendaye,,Comité départemental de la Randonnée pédestre des Pyrénées-Atlantiques,SIRTAQUI Nouvelle-Aquitaine,2025-09-24,Balade à Roulettes l'île des Faisans#,"Balade à roulette, BR#Balade à roulette, BR","Parcours bien aménagé pour poussette, petit vélo, fauteuil roulant. La promenade longe la rive droite de la Bidassoa. Vue sur l’île des Faisans, le parc écologique Plaiaundi, Irun et les Pyrénées.",https://data.datatourisme.fr/23/6e6b0692-cdaf-3234-872d-0f959278c84f
Une année de vigneron,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#Tour|https://www.datatourisme.fr/ontology/core#WalkingTour|https://www.datatourisme.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,45.522236,6.009409,La poste,73800#Chignin,,Office de tourisme Coeur de Savoie,Apidae Tourisme Scic SA - source : Apidae Tourisme,2024-06-27,#http://www.tourisme.coeurdesavoie.fr/<>http://www.coeurdesavoie.fr/,Vignobles & Découvertes#Label Vignobles & Découvertes,L'année du vigneron est une des 6 boucles thématiques qui parsème le chemin des vignes entre Chignin et Fréterive. Ce sentier vous expliquera le travail de la vigne au cours des saisons d'un vigneron d'aujourd'hui.,https://data.datatourisme.fr/13/2e5f4b5c-867f-33a3-960e-fed87939766d
Étangs et lac,https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Tour|https://www.datatourisme.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,49.1989246580922,6.69339439157104,Rue de la Bonne Fontaine Etang de Creutzwald,57150#Creutzwald,,MOSELLE ATTRACTIVITE,Système d’information touristique Lorrain,2025-09-23,#https://ccwarndt.fr/,"Itinéraire de promenade et de randonnée, PR#Fédération Française de Randonnée","Le Warndt est un pays de lacs et d’étangs. Situé au cœur de la ville, le lac de Creutzwald est un lieu très prisé de promenade, de pêche et de pratique de loisirs nautiques. Niché au fond d’un vallon préservé, le Warndtweiher se distingue par son environnement naturel exceptionnel.",https://data.datatourisme.fr/10/170506fe-545f-3116-abf2-43a8fddb7344
Gr du pays de la Déodatie - boucle sud,https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Tour|https://www.datatourisme.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,48.2819895,6.9485393,Gare de Saint-Dié-des-Vosges,88100#Saint-Dié-des-Vosges,,OT SAINT DIE DES VOSGES,Système d’information touristique Lorrain,2025-12-06,#https://deodatie.com/grp-deodatie-boucle-sud/,Itinéraire de sentier de grande randonnée de pays GRP#Fédération Française de Randonnée,"Boucle de 177 km, réalisable en 13 jours.
Ce circuit pédestre constitue une véritable invitation à la découverte des plus hauts versants lorrains des Vosges. Au départ de la capitale du massif, Saint-Dié-des-Vosges, le sentier vous dévoilera peu à peu la beauté et richesse du territoire Vosgien. Vous pourrez y découvrir de nombreuses curiosités naturelles comme l’impressionnant défilé de Straiture, mais aussi y apprécier de magnifiques panoramas qui vous laisseront à coup sûr émerveillés. A mi-parcours, une fois parvenu au cœur des Hautes Vosges, les villes de Gérardmer et Xonrupt-Longemer s’offriront à vous avec leur lac et les multiples activités qu’elles proposent aux visiteurs. Finalement, ce GR® de Pays vous guidera dans d’autres lieux incontournables et passionnants. Une visite à la scierie du Lançoir vous dévoilera par exemple les secrets d’un lieu témoin d’un riche passé industriel et rural, alors que la célèbre Confiserie des Hautes Vosges saura venir satisfaire votre gourmandise avec la découverte des fameux bonbons vosgiens.
Pour plus d’informations sur l’itinéraire, rendez-vous sur : https://deodatie.com/randonnees-gr-de-pays/

Ou retrouvez également les GR® de Pays de la Ligne Bleue des Vosges sur OutdoorActive : https://www.outdooractive.com/fr/list/les-gr-de-pays-de-la-ligne-bleue-des-vosges/184679364/",https://data.datatourisme.fr/10/5e0f17ee-a3e3-38f4-9232-cc7a62f0d408
Gr du pays de la Déodatie - boucle nord,https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Tour|https://www.datatourisme.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,48.2819895,6.9485393,Gare de Saint-Dié-des-Vosges,88100#Saint-Dié-des-Vosges,,OT SAINT DIE DES VOSGES,Système d’information touristique Lorrain,2025-12-06,#https://deodatie.com/grp-deodatie-boucle-nord/,Itinéraire de sentier de grande randonnée de pays GRP#Fédération Française de Randonnée,"Boucle de 136 km, réalisable en 7 jours. 
Départ depuis la Gare de Saint-Dié-des-Vosges.
Cet itinéraire vous invite à découvrir cette partie du territoire Vosgien empreint d’histoire et de mémoire. Au fil des jours, vous serez transportés au cœur de lieux emblématiques et mythiques. Depuis l’époque de l’Antiquité avec le panorama offert depuis la Pierre d’Appel en passant bien sûr par les célèbres abbayes des villes de Senones, Moyenmoutier et Etival-Clairefontaine. Le sentier vous guidera ensuite au cœur des vallées de la Plaine et du Rabodeau. Vous pourrez alors profiter des paysages étonnants offerts par les lacs de Pierre-Percée et de Celles-sur-Plaine, pour ensuite faire un bond dans l’histoire de la Grande Guerre à travers la découverte de sites marquants, tels que la Tête du Coquin. Finalement, les forêts de résineux que vous serez amenés à parcourir vous plongeront dans un univers fascinant et féérique, et vous guideront dans des lieux légendaires comme le lac de la Maix ou encore le camp de la Bure.
Pour plus d’informations sur l’itinéraire, rendez-vous sur : https://deodatie.com/randonnees-gr-de-pays/

Ou retrouvez également les GR® de Pays de la Ligne Bleue des Vosges sur OutdoorActive : https://www.outdooractive.com/fr/list/les-gr-de-pays-de-la-ligne-bleue-des-vosges/184679364/",https://data.datatourisme.fr/10/e47c0236-489b-303b-9845-d0fdd7549db4
Lembeye : le chemin de la Ligne,https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Tour|https://www.datatourisme.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.4497334,-0.111882,place Marcadieu,64350#Lembeye,,Syndicat du tourisme Coteaux Béarn Madiran,SIRTAQUI Nouvelle-Aquitaine,2025-11-17,CCNEB#https://www.bearnmadiran-tourisme.fr/,Fédération Française de Randonnée#Fédération Française de Randonnée,"C’est un voyage dans le temps qu’évoque cette promenade. De 1904 à 1931, le Vic-Bilh était traversé par la ligne de chemin de fer à vapeur, qui reliait Pau à Lembeye. Au fil de ce chemin, vous découvrirez plusieurs ouvrages (ponts, descentes d'eau, talus empierrés…) qui témoignent de ce passage.",https://data.datatourisme.fr/23/7931ce24-d2b9-3ace-9c54-eb5571db18c1
Lembeye : la vallée du Vic-Bilh à VTT,https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#CyclingTour|https://www.datatourisme.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.4497022,-0.1118605,place Marcadieu,64350#Lembeye,,Syndicat du tourisme Coteaux Béarn Madiran,SIRTAQUI Nouvelle-Aquitaine,2025-09-03,Syndicat mixte du tourisme Nord Béarn#https://www.bearnmadiran-tourisme.fr/loisirs/velo/circuit-randonnee-vtt-vtc/,,"Les amateurs de sorties sportives vont adorer ce circuit ! Il réserve quelques grimpettes ardues, mais également de magnifiques portions comme la ligne de Tram ou la descente de cap de pont. Quant aux panoramas sur les Pyrénées, ils sont simplement exceptionnels !",https://data.datatourisme.fr/23/2713d0d2-c0d9-320f-8c01-f0c3706597f7
Lembeye : le chemin des lacs à VTT,https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#CyclingTour|https://www.datatourisme.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.449657,-0.11168,place Marcadieu,64350#Lembeye,,Syndicat du tourisme Coteaux Béarn Madiran,SIRTAQUI Nouvelle-Aquitaine,2025-09-03,Syndicat mixte du tourisme Nord Béarn#https://www.bearnmadiran-tourisme.fr/loisirs/randonnee-pedestre/,,"Esthétique et varié, ce circuit parcourt une campagne qui inspire la quiétude. Le tour des lacs de Lembeye/Corbère-Abères et Bassillon-Vauzé, et les zones ombragées sont très agréables. A pratiquer toute l'année sans modération !",https://data.datatourisme.fr/23/165553c8-a5fd-3c8c-8dfa-2551ac818587
Lembeye : la vallée du Vic-Bilh à cheval,https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Tour|https://www.datatourisme.fr/ontology/core#HorseTour|http://purl.org/ontology/olo/core#OrderedList,43.449453,-0.112161,place Marcadieu,64350#Lembeye,,Syndicat du tourisme Coteaux Béarn Madiran,SIRTAQUI Nouvelle-Aquitaine,2025-09-03,Syndicat mixte du tourisme Nord Béarn#https://www.bearnmadiran-tourisme.fr/loisirs/randonnee-circuit-equestre/,,"Les amateurs de sorties sportives vont adorer ce circuit ! Il réserve quelques grimpettes ardues, mais également de magnifiques portions comme la descente de cap de pont. Quant aux panoramas sur les Pyrénées, ils sont simplement exceptionnels ! A faire absolument !",https://data.datatourisme.fr/23/4ab7a05a-fc4e-3f7d-af7b-5081f7c69768
