trip_id,stop_id,stop_sequence,arrival_time,departure_time
OCEEA436010R5235_R:CTE:FR:Line::8440e055-0d15-4156-9e77-017af816441a::87296012:87296442:5:1052:20260116,87296012,0,2026-01-16 09:55:00,2026-01-16 09:55:00
OCEEA436010R5235_R:CTE:FR:Line::8440e055-0d15-4156-9e77-017af816441a::87296012:87296442:5:1052:20260116,87296152,1,2026-01-16 10:11:00,2026-01-16 10:11:00
OCEEA436010R5235_R:CTE:FR:Line::8440e055-0d15-4156-9e77-017af816441a::87296012:87296442:5:1052:20260116,87296608,2,2026-01-16 10:28:00,2026-01-16 10:28:00
OCEEA436010R5235_R:CTE:FR:Line::8440e055-0d15-4156-9e77-017af816441a::87296012:87296442:5:1052:20260116,87296632,3,2026-01-16 10:38:00,2026-01-16 10:38:00
OCEEA436010R5235_R:CTE:FR:Line::8440e055-0d15-4156-9e77-017af816441a::87296012:87296442:5:1052:20260116,87296442,4,2026-01-16 10:52:00,2026-01-16 10:52:00
OCEEA436011R5235_R:CTE:FR:Line::8440e055-0d15-4156-9e77-017af816441a::87296442:87296012:5:1327:20260116,87296442,0,2026-01-16 12:30:00,2026-01-16 12:30:00
OCEEA436011R5235_R:CTE:FR:Line::8440e055-0d15-4156-9e77-017af816441a::87296442:87296012:5:1327:20260116,87296632,1,2026-01-16 12:44:00,2026-01-16 12:44:00
OCEEA436011R5235_R:CTE:FR:Line::8440e055-0d15-4156-9e77-017af816441a::87296442:87296012:5:1327:20260116,87296608,2,2026-01-16 12:54:00,2026-01-16 12:54:00
OCEEA436011R5235_R:CTE:FR:Line::8440e055-0d15-4156-9e77-017af816441a::87296442:87296012:5:1327:20260116,87296152,3,2026-01-16 13:11:00,2026-01-16 13:11:00
OCEEA436011R5235_R:CTE:FR:Line::8440e055-0d15-4156-9e77-017af816441a::87296442:87296012:5:1327:20260116,87296012,4,2026-01-16 13:27:00,2026-01-16 13:27:00
OCEEA436012R5235_R:CTE:FR:Line::8440e055-0d15-4156-9e77-017af816441a::87296012:87296442:5:1212:20260116,87296012,0,2026-01-16 11:15:00,2026-01-16 11:15:00
OCEEA436012R5235_R:CTE:FR:Line::8440e055-0d15-4156-9e77-017af816441a::87296012:87296442:5:1212:20260116,87296152,1,2026-01-16 11:31:00,2026-01-16 11:31:00
OCEEA436012R5235_R:CTE:FR:Line::8440e055-0d15-4156-9e77-017af816441a::87296012:87296442:5:1212:20260116,87296608,2,2026-01-16 11:44:00,2026-01-16 11:48:00
OCEEA436012R5235_R:CTE:FR:Line::8440e055-0d15-4156-9e77-017af816441a::87296012:87296442:5:1212:20260116,87296632,3,2026-01-16 11:58:00,2026-01-16 11:58:00
OCEEA436012R5235_R:CTE:FR:Line::8440e055-0d15-4156-9e77-017af816441a::87296012:87296442:5:1212:20260116,87296442,4,2026-01-16 12:12:00,2026-01-16 12:12:00
OCEEA436013R5235_R:CTE:FR:Line::8440e055-0d15-4156-9e77-017af816441a::87296442:87296012:5:1437:20260116,87296442,0,2026-01-16 13:40:00,2026-01-16 13:40:00
OCEEA436013R5235_R:CTE:FR:Line::8440e055-0d15-4156-9e77-017af816441a::87296442:87296012:5:1437:20260116,87296632,1,2026-01-16 13:50:00,2026-01-16 13:54:00
OCEEA436013R5235_R:CTE:FR:Line::8440e055-0d15-4156-9e77-017af816441a::87296442:87296012:5:1437:20260116,87296608,2,2026-01-16 14:04:00,2026-01-16 14:04:00
OCEEA436013R5235_R:CTE:FR:Line::8440e055-0d15-4156-9e77-017af816441a::87296442:87296012:5:1437:20260116,87296152,3,2026-01-16 14:21:00,2026-01-16 14:21:00
OCEEA436013R5235_R:CTE:FR:Line::8440e055-0d15-4156-9e77-017af816441a::87296442:87296012:5:1437:20260116,87296012,4,2026-01-16 14:37:00,2026-01-16 14:37:00
OCEEA436014R5235_R:CTE:FR:Line::8440e055-0d15-4156-9e77-017af816441a::87296012:87296442:3:1348:20260116,87296012,0,2026-01-16 13:07:00,2026-01-16 13:07:00
OCEEA436014R5235_R:CTE:FR:Line::8440e055-0d15-4156-9e77-017af816441a::87296012:87296442:3:1348:20260116,87296632,1,2026-01-16 13:33:00,2026-01-16 13:34:00
OCEEA436014R5235_R:CTE:FR:Line::8440e055-0d15-4156-9e77-017af816441a::87296012:87296442:3:1348:20260116,87296442,2,2026-01-16 13:48:00,2026-01-16 13:48:00
OCEEA436123R5235_R:CTE:FR:Line::47b328f3-4b90-47ae-bd7d-b433e824521a::87313874:87296004:4:1131:20260213,87313874,0,2026-02-13 09:45:00,2026-02-13 09:45:00
OCEEA436123R5235_R:CTE:FR:Line::47b328f3-4b90-47ae-bd7d-b433e824521a::87313874:87296004:4:1131:20260213,87313437,1,2026-02-13 10:12:00,2026-02-13 10:12:00
OCEEA436123R5235_R:CTE:FR:Line::47b328f3-4b90-47ae-bd7d-b433e824521a::87313874:87296004:4:1131:20260213,87313494,2,2026-02-13 11:02:00,2026-02-13 11:02:00
OCEEA436123R5235_R:CTE:FR:Line::47b328f3-4b90-47ae-bd7d-b433e824521a::87313874:87296004:4:1131:20260213,87296004,3,2026-02-13 11:31:00,2026-02-13 11:31:00
OCEEA436125R5235_R:CTE:FR:Line::47b328f3-4b90-47ae-bd7d-b433e824521a::87313874:87296004:4:1431:20260213,87313874,0,2026-02-13 12:45:00,2026-02-13 12:45:00
OCEEA436125R5235_R:CTE:FR:Line::47b328f3-4b90-47ae-bd7d-b433e824521a::87313874:87296004:4:1431:20260213,87313437,1,2026-02-13 13:12:00,2026-02-13 13:12:00
OCEEA436125R5235_R:CTE:FR:Line::47b328f3-4b90-47ae-bd7d-b433e824521a::87313874:87296004:4:1431:20260213,87313494,2,2026-02-13 14:02:00,2026-02-13 14:02:00
