route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000001,OCESN105330F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:733:20251130,105330,1,1,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000002,OCESN105342F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1728:20251213,105342,1,2,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000003,OCESN105347F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:2216:20251201,105347,1,3,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000004,OCESN105347F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:2215:20251212,105347,1,4,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000005,OCESN105362F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1045:20251212,105362,1,5,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000006,OCESN105375F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1023:20251213,105375,1,6,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN105377F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1328:20251213,105377,1,7,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000008,OCESN105378F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1611:20251213,105378,1,8,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN105378F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1607:20251212,105378,1,9,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000010,OCESN105379F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1329:20251212,105379,1,10,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000001,OCESN105379F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1329:20251130,105379,1,11,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000008,OCESN105431F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:734:20251213,105431,1,12,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000006,OCESN105432F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:908:20251213,105432,1,13,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000005,OCESN105437F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1118:20251212,105437,1,14,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000011,OCESN105437F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1114:20251213,105437,1,15,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000012,OCESN105442F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1950:20251213,105442,1,16,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000013,OCESN105451F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:2046:20251207,105451,1,17,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000014,OCESN105455F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:2330:20251212,105455,1,18,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000015,OCESN105485F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1526:20251213,105485,1,19,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000015,OCESN106306F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1422:20251213,106306,0,20,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000006,OCESN106330F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:720:20251213,106330,0,21,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000010,OCESN106331F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:834:20251212,106331,0,22,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000011,OCESN106331F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:836:20251213,106331,0,23,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000016,OCESN106331F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:833:20251211,106331,0,24,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000008,OCESN106342F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1712:20251213,106342,0,25,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000017,OCESN106347F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:2202:20251213,106347,0,26,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000018,OCESN106350F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:548:20251112,106350,0,27,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000019,OCESN106350F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:548:20251208,106350,0,28,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000008,OCESN106367F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1824:20251213,106367,0,29,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN106377F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1315:20251213,106377,0,30,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000015,OCESN106378F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1546:20251213,106378,0,31,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000020,OCESN106379F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1315:20251212,106379,0,32,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000013,OCESN106442F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1929:20251207,106442,0,33,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000005,OCESN106445F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1055:20251212,106445,0,34,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000017,OCESN106450F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:2034:20251213,106450,0,35,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000014,OCESN106461F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:2244:20251212,106461,0,36,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000015,OCESN106485F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1512:20251213,106485,0,37,
